1,æ0bə0hə0li1mə0,a/bo/ha/li/ma/
1,æ0dmaɪ1ə0,a/dmi/re/
1,æ0dmɪ1ʃə0n,a/dmi/ssio/n
1,æ0dvæ1ntɪ0dʒ,a/dva/nta/ge
1,æ0dvaɪ1s,a/dvi/ce
1,æ0dvaɪ1z,a/dvi/se
1,æ0dvɛ1ntʃə0ɹ,a/dve/ntu/re
1,æ0dvɜ1ɹtə0zmə0nt,a/dve/rti/seme/nt
1,æ0ksɛ1pt,a/cce/pt
1,æ0ksɛ1ptə0bl,a/cce/pta/ble
2,æ0ktɪ1vɪ0tɪ0,a/cti/vi/ty/
2,æ0ktɪ1vɪ0tɪ0z,a/cti/vi/tie/s
1,æ0lɡoʊ1mə0,a/lgo/ma/
1,æ0mbɪ1ʃə0n,a/mbi/tio/n
1,æ0mbɪ1ʃə0s,a/mbi/tiou/s
2,æ0næ1lɪ0sɪ0s,a/na/ly/si/s
1,æ0ŋzaɪ1ə0tɪ0,a/nxi/e/ty/
1,æ1bsə0lu2t,a/bso/lu/te
1,æ1bsə0ns,a/bse/nce
1,æ1bsə0nt,a/bse/nt
1,æ1bə0ɹt,a/be/rt
2,æ1d,a/dd
1,æ1dvə0ɹb,a/dve/rb
1,æ1dvə0ɹsɛ2ɹɪ0z,a/dve/rsa/rie/s
1,æ1dvə0ɹtaɪ2z,a/dve/rti/se
2,æ1dɪ0d,a/dde/d
1,æ1də0ms#taʊ2n,a/da/ms#tow/n
1,æ1dʒɪ0ktɪ0v,a/dje/cti/ve
2,æ1dɹɛ2s,a/ddre/ss
2,æ1ftə0ɹ,a/fte/r
1,æ1ftə0ɹwə0ɹdz,a/fte/rwa/rds
1,æ1fɹɪ0kə0,a/fri/ca/
1,æ1ks,a/x
1,æ1ks,a/xe
1,æ1ksə0də0nt,a/cci/de/nt
1,æ1ksɛ2s,a/cce/ss
1,æ1kt,a/ct
2,æ1ktɪ0v,a/cti/ve
1,æ1ktə0ɹ,a/cto/r
1,æ1ktʃu2ə0lɪ0,a/ctu/a/lly/
1,æ1ktɹə0s,a/ctre/ss
1,æ1ktʃə0wə0l,a/ctu/a/l
